"Descripcion","P.Unit","Peso","Importe","Tipo_peso","factura_simplificada"
"LECHE DESNAT. CALCIO                 ",0.94,NA,NA,NA,"3075-011-817648"
"LECHE DESNAT. CALCIO                 ",0.94,NA,NA,NA,"3075-011-817648"
"LECHE DESNAT. CALCIO                 ",0.94,NA,NA,NA,"3075-011-817648"
"C. POLLO 100% NAT",2.2,NA,NA,NA,"3075-011-817648"
"SAZONADOR PAELLA",1.4,NA,NA,NA,"3075-011-817648"
"BOTE CHICLE MENTA",1.95,NA,NA,NA,"3075-011-817648"
"TOMATE FRITO S/AZUCA",1.2,NA,NA,NA,"3075-011-817648"
"B.BASURA EXT.C.FÁCIL",1.6,NA,NA,NA,"3075-011-817648"
"CALABAZA PARTIDA",1.7,NA,NA,NA,"3075-011-817648"
"ESCALOPIN SALMON",9.44,NA,NA,NA,"3075-011-817648"
"BROTES TIERNOS MAXI",1.59,NA,NA,NA,"3075-011-817648"
"AJOS TIERNOS",1.97,NA,NA,NA,"3075-011-817648"
"PAVO TACOS",4.83,NA,NA,NA,"3075-011-817648"
"PIZZA JAMON Y QUESO",2.5,NA,NA,NA,"3075-011-817648"
"ACELGAS",1.11,NA,NA,NA,"3075-011-817648"
"QUESO LONCHAS CABRA",2.88,NA,NA,NA,"3075-011-817648"
"QUESO LONCHAS CABRA",2.94,NA,NA,NA,"3075-011-817648"
"MIGAS BACALAO SALADA",5.55,NA,NA,NA,"3075-011-817648"
"MOZZARELLA FRESCA                    ",0.95,NA,NA,NA,"3075-011-817648"
"MOZZARELLA FRESCA                    ",0.95,NA,NA,NA,"3075-011-817648"
"PAN DE PUEBLO",1.5,NA,NA,NA,"3075-011-817648"
"BOLSA BASURA COMPOST",1.75,NA,NA,NA,"3075-011-817648"
"ACT O% NAT ED 8",4,NA,NA,NA,"3075-011-817648"
"PAN CENTENO 51 %",1.55,NA,NA,NA,"3075-011-817648"
"SAL YODADA",0.35,NA,NA,NA,"3075-011-817648"
"COLIFLOR",1.99,0.57,1.13,"Verdura y Frutas","3075-011-817648"
"PLATANO",1.99,1.21,2.41,"Verdura y Frutas","3075-011-817648"
"DETERGENTE BLA/COL",5.65,NA,NA,NA,"3075-011-817648"
"LECHE DESNAT. CALCIO                 ",0.94,NA,NA,NA,"3075-011-817648"
"LECHE DESNAT. CALCIO                 ",0.94,NA,NA,NA,"3075-011-817648"
"LECHE DESNAT. CALCIO                 ",0.94,NA,NA,NA,"3075-011-817648"
"C. POLLO 100% NAT",2.2,NA,NA,NA,"3075-011-817648"
"SAZONADOR PAELLA",1.4,NA,NA,NA,"3075-011-817648"
"BOTE CHICLE MENTA",1.95,NA,NA,NA,"3075-011-817648"
"TOMATE FRITO S/AZUCA",1.2,NA,NA,NA,"3075-011-817648"
"B.BASURA EXT.C.FÁCIL",1.6,NA,NA,NA,"3075-011-817648"
"CALABAZA PARTIDA",1.7,NA,NA,NA,"3075-011-817648"
"ESCALOPIN SALMON",9.44,NA,NA,NA,"3075-011-817648"
"BROTES TIERNOS MAXI",1.59,NA,NA,NA,"3075-011-817648"
"AJOS TIERNOS",1.97,NA,NA,NA,"3075-011-817648"
"PAVO TACOS",4.83,NA,NA,NA,"3075-011-817648"
"PIZZA JAMON Y QUESO",2.5,NA,NA,NA,"3075-011-817648"
"ACELGAS",1.11,NA,NA,NA,"3075-011-817648"
"QUESO LONCHAS CABRA",2.88,NA,NA,NA,"3075-011-817648"
"QUESO LONCHAS CABRA",2.94,NA,NA,NA,"3075-011-817648"
"MIGAS BACALAO SALADA",5.55,NA,NA,NA,"3075-011-817648"
"MOZZARELLA FRESCA                    ",0.95,NA,NA,NA,"3075-011-817648"
"MOZZARELLA FRESCA                    ",0.95,NA,NA,NA,"3075-011-817648"
"PAN DE PUEBLO",1.5,NA,NA,NA,"3075-011-817648"
"BOLSA BASURA COMPOST",1.75,NA,NA,NA,"3075-011-817648"
"ACT O% NAT ED 8",4,NA,NA,NA,"3075-011-817648"
"PAN CENTENO 51 %",1.55,NA,NA,NA,"3075-011-817648"
"SAL YODADA",0.35,NA,NA,NA,"3075-011-817648"
"COLIFLOR",1.99,0.57,1.13,"Verdura y Frutas","3075-011-817648"
"PLATANO",1.99,1.21,2.41,"Verdura y Frutas","3075-011-817648"
"ROLLO HOGAR DOBLE",2.2,NA,NA,NA,"2233-021-391144"
"POLLO ENTERO LIMPIO",5.4,NA,NA,NA,"2233-021-391144"
"DET LIQ MARSELLA",3.5,NA,NA,NA,"2233-021-391144"
"LIMPIAHOGAR PH NEUTR",1.55,NA,NA,NA,"2233-021-391144"
"Q. UNTAR SUAVE",1.29,NA,NA,NA,"2233-021-391144"
"TOFU",1.9,NA,NA,NA,"2233-021-391144"
"T.CHOCOLATE BLANCO",1.2,NA,NA,NA,"2233-021-391144"
"T.CHOCO CACAHUE.MIEL",1.4,NA,NA,NA,"2233-021-391144"
"TIBURON",0.82,NA,NA,NA,"2233-021-391144"
"KIWI VERDE BANDEJA",3.01,NA,NA,NA,"2233-021-391144"
"SALTEADO DE SETAS",1.65,NA,NA,NA,"2233-021-391144"
"GARBANZO M.COCIDO                    ",0.71,NA,NA,NA,"2233-021-391144"
"GARBANZO M.COCIDO                    ",0.71,NA,NA,NA,"2233-021-391144"
"ANCHOA G.PACK-3 PLAS",2.1,NA,NA,NA,"2233-021-391144"
"CHOCO FUNDIR BLANCO                  ",1.5,NA,NA,NA,"2233-021-391144"
"CHOCO FUNDIR BLANCO                  ",1.5,NA,NA,NA,"2233-021-391144"
"NATA MONTAR",1.95,NA,NA,NA,"2233-021-391144"
"CHAMPU ARGAN OIL",2.05,NA,NA,NA,"2233-021-391144"
"NOODLES DE ARROZ",1.3,NA,NA,NA,"2233-021-391144"
"ZANAHORIA 500 G",0.85,NA,NA,NA,"2233-021-391144"
"COLA CAO 0%",4.29,NA,NA,NA,"2233-021-391144"
"HARINA DE FUERZA",0.91,NA,NA,NA,"2233-021-391144"
"COPOS DE AVENA                       ",0.95,NA,NA,NA,"2233-021-391144"
"COPOS DE AVENA                       ",0.95,NA,NA,NA,"2233-021-391144"
"TOMATE CONCENTRADO",1.05,NA,NA,NA,"2233-021-391144"
"AZUCAR",1.45,NA,NA,NA,"2233-021-391144"
"SAL YODADA",0.35,NA,NA,NA,"2233-021-391144"
"B ALMENDRAS S/A CAJA",8.1,NA,NA,NA,"2233-021-391144"
"SOJA NATURAL CAJA",4.8,NA,NA,NA,"2233-021-391144"
"GALLETA CARAMELIZADA",1.5,NA,NA,NA,"2233-021-391144"
"MERMELADA FRESA",3,NA,NA,NA,"2233-021-391144"
"ACEITE GIRASOL",1.45,NA,NA,NA,"2233-021-391144"
"LOCION UREA 10%",1.95,NA,NA,NA,"2233-021-391144"
"DESODORANTE ROLL-ON",1.9,NA,NA,NA,"2233-021-391144"
"LEVADURA FRESCA",0.45,NA,NA,NA,"2233-021-391144"
"QUESO BRIE PORCION",1.6,NA,NA,NA,"2233-021-391144"
"CEREZA EN ALMIBAR",1.95,NA,NA,NA,"2233-021-391144"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"2233-021-391144"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"2233-021-391144"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"2233-021-391144"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"2233-021-391144"
"REPOLLO LISO GRANEL",1.55,1.358,2.1,"Verdura y Frutas","2233-021-391144"
"PATATA 3 KG",4.3,NA,NA,NA,"2233-012-095411"
"CACAO PURO 0%",2.75,NA,NA,NA,"2233-012-095411"
"NUEZ CASCARA NATURAL",2.9,NA,NA,NA,"2233-012-095411"
"CEBOLLA 2 KG",2.79,NA,NA,NA,"2233-012-095411"
"CHAMPIÑON BANDEJA P",1.24,NA,NA,NA,"2233-012-095411"
"LECHE DE COCO",1.4,NA,NA,NA,"2233-012-095411"
"BOTE CHICLE HIERBAB",1.95,NA,NA,NA,"2233-012-095411"
"AGUACATE BANDEJA",3.54,NA,NA,NA,"2233-012-095411"
"ALMENDRA LAMINADA",2.07,NA,NA,NA,"2233-012-095411"
"S. HIERBAS PROVENZAL",1,NA,NA,NA,"2233-012-095411"
"POLVORON GRANEL",5.1,0.262,1.34,"Verdura y Frutas","2233-012-095411"
"LOTE SOPLO INTENSE",12.5,NA,NA,NA,"4530-013-365885"
"C. VITAMINA K",7,NA,NA,NA,"4530-013-365885"
"GEL LIMPIA SENSITIVE",4,NA,NA,NA,"4530-013-365885"
"LECHE SEMI S/LACT",1.46,NA,NA,NA,"4530-013-365885"
"PECHUGA CERTIFICADA",4.8,NA,NA,NA,"4530-013-365885"
"MINI TOSTAS NORMALES",1.4,NA,NA,NA,"4530-013-365885"
"LECHE DESN S/LACT                   ",0.93,NA,NA,NA,"3075-010-693348"
"LECHE DESN S/LACT                   ",0.93,NA,NA,NA,"3075-010-693348"
"LECHE DESN S/LACT                   ",0.93,NA,NA,NA,"3075-010-693348"
"LECHE DESNAT. CALCIO                ",0.94,NA,NA,NA,"3075-010-693348"
"LECHE DESNAT. CALCIO                ",0.94,NA,NA,NA,"3075-010-693348"
"LECHE DESNAT. CALCIO                ",0.94,NA,NA,NA,"3075-010-693348"
"LECHE DESNAT. CALCIO                ",0.94,NA,NA,NA,"3075-010-693348"
"LECHE DESNAT. CALCIO                ",0.94,NA,NA,NA,"3075-010-693348"
"HIGIENICO DOBLE ROLL",2.25,NA,NA,NA,"3075-010-693348"
"PAN CENTENO 51 %",1.55,NA,NA,NA,"3075-010-693348"
"SPAGHETTI INTEGRAL",1.2,NA,NA,NA,"3075-010-693348"
"QUESO LONCHAS CABRA",2.81,NA,NA,NA,"3075-010-693348"
"COLA CAO 0%",4.29,NA,NA,NA,"3075-010-693348"
"ARROZ J.SENDRA                     ",1.54,NA,NA,NA,"3075-010-693348"
"ARROZ J.SENDRA                     ",1.54,NA,NA,NA,"3075-010-693348"
"PIZZA JAMON Y QUESO",2.5,NA,NA,NA,"3075-010-693348"
"PORCIONES BACALAO",7.4,NA,NA,NA,"3075-010-693348"
"CHAMPÚ H&S 2 EN 1",4.25,NA,NA,NA,"3075-010-693348"
"DEO SPRAY INV.HOMBRE",2.75,NA,NA,NA,"3075-010-693348"
"BROTES TIERNOS MAXI",1.59,NA,NA,NA,"3075-010-693348"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"3075-010-693348"
"LAVAVAJILLA TODO 1",3,NA,NA,NA,"3075-010-693348"
"QUESO FRESCO CABRA",2.77,NA,NA,NA,"3075-010-693348"
"QUESO LONCHAS CABRA",2.97,NA,NA,NA,"3075-010-693348"
"QUESO LONCHAS CABRA",2.82,NA,NA,NA,"3075-010-693348"
"12 HUEVOS GRANDES -L",2.2,NA,NA,NA,"3075-010-693348"
"ESCALOPIN SALMON",9.9,NA,NA,NA,"3075-010-693348"
"PAN DE PUEBLO",1.5,NA,NA,NA,"3075-010-693348"
"CINTAS DE BACON",2.1,NA,NA,NA,"3075-010-693348"
"JAMON S. EXTRA FINO                ",2.55,NA,NA,NA,"3075-010-693348"
"JAMON S. EXTRA FINO                ",2.55,NA,NA,NA,"3075-010-693348"
"JAMON S. EXTRA FINO                ",2.55,NA,NA,NA,"3075-010-693348"
"TOMATE PERA TARRINA",2.27,NA,NA,NA,"3075-010-693348"
"PECHUGA DE PAVO",2.09,NA,NA,NA,"3075-010-693348"
"PLATANO",1.99,1.11,2.21,"Verdura y Frutas","3075-010-693348"
"LECHE DESN S/LACT                   ",0.93,NA,NA,NA,"3075-010-693348"
"LECHE DESN S/LACT                   ",0.93,NA,NA,NA,"3075-010-693348"
"LECHE DESN S/LACT                   ",0.93,NA,NA,NA,"3075-010-693348"
"LECHE DESNAT. CALCIO                ",0.94,NA,NA,NA,"3075-010-693348"
"LECHE DESNAT. CALCIO                ",0.94,NA,NA,NA,"3075-010-693348"
"LECHE DESNAT. CALCIO                ",0.94,NA,NA,NA,"3075-010-693348"
"LECHE DESNAT. CALCIO                ",0.94,NA,NA,NA,"3075-010-693348"
"LECHE DESNAT. CALCIO                ",0.94,NA,NA,NA,"3075-010-693348"
"HIGIENICO DOBLE ROLL",2.25,NA,NA,NA,"3075-010-693348"
"PAN CENTENO 51 %",1.55,NA,NA,NA,"3075-010-693348"
"SPAGHETTI INTEGRAL",1.2,NA,NA,NA,"3075-010-693348"
"QUESO LONCHAS CABRA",2.81,NA,NA,NA,"3075-010-693348"
"COLA CAO 0%",4.29,NA,NA,NA,"3075-010-693348"
"ARROZ J.SENDRA                     ",1.54,NA,NA,NA,"3075-010-693348"
"ARROZ J.SENDRA                     ",1.54,NA,NA,NA,"3075-010-693348"
"PIZZA JAMON Y QUESO",2.5,NA,NA,NA,"3075-010-693348"
"PORCIONES BACALAO",7.4,NA,NA,NA,"3075-010-693348"
"CHAMPÚ H&S 2 EN 1",4.25,NA,NA,NA,"3075-010-693348"
"DEO SPRAY INV.HOMBRE",2.75,NA,NA,NA,"3075-010-693348"
"BROTES TIERNOS MAXI",1.59,NA,NA,NA,"3075-010-693348"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"3075-010-693348"
"LAVAVAJILLA TODO 1",3,NA,NA,NA,"3075-010-693348"
"QUESO FRESCO CABRA",2.77,NA,NA,NA,"3075-010-693348"
"QUESO LONCHAS CABRA",2.97,NA,NA,NA,"3075-010-693348"
"QUESO LONCHAS CABRA",2.82,NA,NA,NA,"3075-010-693348"
"12 HUEVOS GRANDES -L",2.2,NA,NA,NA,"3075-010-693348"
"ESCALOPIN SALMON",9.9,NA,NA,NA,"3075-010-693348"
"PAN DE PUEBLO",1.5,NA,NA,NA,"3075-010-693348"
"CINTAS DE BACON",2.1,NA,NA,NA,"3075-010-693348"
"JAMON S. EXTRA FINO                ",2.55,NA,NA,NA,"3075-010-693348"
"JAMON S. EXTRA FINO                ",2.55,NA,NA,NA,"3075-010-693348"
"JAMON S. EXTRA FINO                ",2.55,NA,NA,NA,"3075-010-693348"
"TOMATE PERA TARRINA",2.27,NA,NA,NA,"3075-010-693348"
"PECHUGA DE PAVO",2.09,NA,NA,NA,"3075-010-693348"
"PLATANO",1.99,1.11,2.21,"Verdura y Frutas","3075-010-693348"
"PERSIMON 1 KG",2.1,NA,NA,NA,"4530-014-331237"
"NATA PARA COCINAR",1.75,NA,NA,NA,"4530-014-331237"
"SPAGHETTI",1.35,NA,NA,NA,"4530-014-331237"
"DATIL RAMA",3.1,NA,NA,NA,"4530-014-331237"
"ÑORA PICADA",1.3,NA,NA,NA,"4530-014-331237"
"HAMBURGUESA DE LOMO",3.7,NA,NA,NA,"4530-014-331237"
"JAMON CEBO IBERICO",8.34,NA,NA,NA,"4530-014-331237"
"PIZZA MEDITTERRANEA                ",2.9,NA,NA,NA,"4530-014-331237"
"PIZZA MEDITTERRANEA                ",2.9,NA,NA,NA,"4530-014-331237"
"ARROZ BOMBA",4.9,NA,NA,NA,"4530-014-331237"
"YOGUR NATURAL X6",1.05,NA,NA,NA,"4530-014-331237"
"SETA BANDEJA",1.48,NA,NA,NA,"4530-014-331237"
"CALDO POLLO",0.8,NA,NA,NA,"4530-014-331237"
"MAXI HAMBURGUESA",0.9,NA,NA,NA,"4530-014-331237"
"SERRANO TACOS",2.89,NA,NA,NA,"4530-014-331237"
"SALCHICHON CEBO LONC",1.95,NA,NA,NA,"4530-014-331237"
"CHAMPIÑON BANDEJA P",1.57,NA,NA,NA,"4530-014-331237"
"JAMÓN COCIDO 90%",2.41,NA,NA,NA,"4530-014-331237"
"GARBANZO M.COCIDO                  ",0.71,NA,NA,NA,"4530-014-331237"
"GARBANZO M.COCIDO                  ",0.71,NA,NA,NA,"4530-014-331237"
"PICOS CAMPERO",1.05,NA,NA,NA,"4530-014-331237"
"MACARRON",1.35,NA,NA,NA,"4530-014-331237"
"YATEKOMO POLLO DIV",3.95,NA,NA,NA,"4530-014-331237"
"ESP VERDE FINO",2.59,NA,NA,NA,"4530-014-331237"
"ACEITUNA PARTIDA",3.95,NA,NA,NA,"4530-014-331237"
"CALLOS MADRILEÑA                   ",2.6,NA,NA,NA,"4530-014-331237"
"CALLOS MADRILEÑA                   ",2.6,NA,NA,NA,"4530-014-331237"
"RABANITOS",1.1,NA,NA,NA,"4530-014-331237"
"BACALAO AHUMADO",3.2,NA,NA,NA,"4530-014-331237"
"BARRA CAMPESINA",0.7,NA,NA,NA,"4530-014-331237"
"SALSA DE SOJA SALADA",1.45,NA,NA,NA,"4530-014-331237"
"INFUSION JENGIBRE                  ",1.35,NA,NA,NA,"4530-014-331237"
"INFUSION JENGIBRE                  ",1.35,NA,NA,NA,"4530-014-331237"
"ALCACHOFA PEQUEÑA",1.8,NA,NA,NA,"4530-014-331237"
"ALLIOLI TARRINA",1.1,NA,NA,NA,"4530-014-331237"
"PAN 51% INTEGRAL 5UN",1.3,NA,NA,NA,"4530-014-331237"
"TOMATE TRITURADO                   ",0.72,NA,NA,NA,"4530-014-331237"
"TOMATE TRITURADO                   ",0.72,NA,NA,NA,"4530-014-331237"
"EXPLOSION ACTION ENJ",1.5,NA,NA,NA,"4530-014-331237"
"NARANJA 5 KG.",4.95,NA,NA,NA,"4530-014-331237"
"MANDARINA",2.09,1.156,2.42,"Verdura y Frutas","4530-014-331237"
"ALCACHOFA",2.99,0.904,2.7,"Verdura y Frutas","4530-014-331237"
"PECHUGA 2 UND",4.95,NA,NA,NA,"3075-016-207716"
"BERENJENA",1.89,0.69,1.3,"Verdura y Frutas","3075-016-207716"
"CALABACIN VERDE",1.69,0.65,1.1,"Verdura y Frutas","3075-016-207716"
"PECHUGA 2 UND",4.95,NA,NA,NA,"3075-016-207716"
"BERENJENA",1.89,0.69,1.3,"Verdura y Frutas","3075-016-207716"
"CALABACIN VERDE",1.69,0.65,1.1,"Verdura y Frutas","3075-016-207716"
"BOLSA PLASTICO",0.15,NA,NA,NA,"3075-013-696429"
"ESPINACAS",1.2,NA,NA,NA,"3075-013-696429"
"MASA QUEBRADA BRISA",2.6,NA,NA,NA,"3075-013-696429"
"BARRA CAMPESINA                    ",0.7,NA,NA,NA,"3075-013-696429"
"BARRA CAMPESINA                    ",0.7,NA,NA,NA,"3075-013-696429"
"BARRA CAMPESINA                    ",0.7,NA,NA,NA,"3075-013-696429"
"BACALADILLA",3.95,1.59,6.28,"Pescado","3075-013-696429"
"SEPIA LONJA",11.95,0.792,9.46,"Pescado","3075-013-696429"
"SALMON ENTERO",11.95,1.624,19.41,"Pescado","3075-013-696429"
"BOLSA PLASTICO",0.15,NA,NA,NA,"3075-013-696429"
"ESPINACAS",1.2,NA,NA,NA,"3075-013-696429"
"MASA QUEBRADA BRISA",2.6,NA,NA,NA,"3075-013-696429"
"BARRA CAMPESINA                    ",0.7,NA,NA,NA,"3075-013-696429"
"BARRA CAMPESINA                    ",0.7,NA,NA,NA,"3075-013-696429"
"BARRA CAMPESINA                    ",0.7,NA,NA,NA,"3075-013-696429"
"BACALADILLA",3.95,1.59,6.28,"Pescado","3075-013-696429"
"SEPIA LONJA",11.95,0.792,9.46,"Pescado","3075-013-696429"
"SALMON ENTERO",11.95,1.624,19.41,"Pescado","3075-013-696429"
"AJO Y PEREJIL",1.15,NA,NA,NA,"4530-015-048270"
"MANDARINA HOJA 1,5",3.29,NA,NA,NA,"4530-015-048270"
"ICEBERG",1.05,NA,NA,NA,"4530-015-048270"
"JUDÍA PLANA 750 GR",3.25,NA,NA,NA,"4530-015-048270"
"CHAMPIÑÓN GRANDE BAN",2.83,NA,NA,NA,"4530-015-048270"
"JUDIA REDONDA 500 G",2.39,NA,NA,NA,"4530-015-048270"
"SETA LAMINADA",2.07,NA,NA,NA,"4530-015-048270"
"ESP VERDE FINO",2.59,NA,NA,NA,"4530-015-048270"
"MAIZ DULCE",2.99,NA,NA,NA,"4530-015-048270"
"SARDINA AHUMADA",2,NA,NA,NA,"4530-015-048270"
"CEBOLLA TUBO",1.85,NA,NA,NA,"4530-015-048270"
"5 BOCADILLOS",1.15,NA,NA,NA,"4530-015-048270"
"TOMATE KUMATO TARR.",2.69,NA,NA,NA,"4530-015-048270"
"ACEITUNA PARTIDA",3.95,NA,NA,NA,"4530-015-048270"
"MINI EMP PISTO P6",1.7,NA,NA,NA,"4530-015-048270"
"ROSQUILLA CHOCO COCO",1.55,NA,NA,NA,"4530-015-048270"
"REBUENAS",1.2,NA,NA,NA,"4530-015-048270"
"LONGANIZA DE PAYES",4.98,NA,NA,NA,"4530-015-048270"
"GARRÓN JAMON SERRANO",2.22,NA,NA,NA,"4530-015-048270"
"JAMON CEBO IBERICO",7.93,NA,NA,NA,"4530-015-048270"
"EMBUTIDO LONCHEADO",3.65,NA,NA,NA,"4530-015-048270"
"REFILL DERMO",1.5,NA,NA,NA,"4530-015-048270"
"DESATASCADOR TURBO",1.7,NA,NA,NA,"4530-015-048270"
"1/2 CONEJO TROCEADO",5.31,NA,NA,NA,"4530-015-048270"
"1/2 POLLO PART CERT",4.81,NA,NA,NA,"4530-015-048270"
"LEJIA CON DETERGENTE",1.15,NA,NA,NA,"4530-015-048270"
"PRESA IBERICA",9.2,NA,NA,NA,"4530-015-048270"
"FIGATELL",3.82,NA,NA,NA,"4530-015-048270"
"FIDEO CABELLO",0.82,NA,NA,NA,"4530-015-048270"
"PIMIENTA NEGRA GRANO",1.45,NA,NA,NA,"4530-015-048270"
"PIMIENTA NEGRA MOLID",1.05,NA,NA,NA,"4530-015-048270"
"SOJA CALCIO PACK",4.2,NA,NA,NA,"4530-015-048270"
"B ALMENDRAS S/A CAJA",8.1,NA,NA,NA,"4530-015-048270"
"CARACOL PRECOCIDO                     ",2.25,NA,NA,NA,"4530-015-048270"
"CARACOL PRECOCIDO                     ",2.25,NA,NA,NA,"4530-015-048270"
"SEPIA SUCIA REFRIG",11.95,0.68,8.13,"Pescado","4530-015-048270"
"BACALADILLA",3.95,1.008,3.98,"Pescado","4530-015-048270"
"DORADA",8.45,1.408,11.9,"Pescado","4530-015-048270"
"PLATANO",1.59,1.168,1.86,"Verdura y Frutas","4530-015-048270"
"TOMATE CANARIO",1.55,0.784,1.22,"Verdura y Frutas","4530-015-048270"
"LIMON",1.49,0.666,0.99,"Verdura y Frutas","4530-015-048270"
"MANGO",2.49,1.372,3.42,"Verdura y Frutas","4530-015-048270"
"MEJILLON",3.2,NA,NA,NA,"2233-020-616378"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"2233-020-616378"
"HOGAZA CENTENO 50%",1.8,NA,NA,NA,"2233-020-616378"
"KIWI VERDE BANDEJA",3.06,NA,NA,NA,"2233-020-616378"
"LIMPIADOR JABONOSO M",1.55,NA,NA,NA,"2233-020-616378"
"CAFE MOLIDO NATURAL",3.35,NA,NA,NA,"2233-020-616378"
"ATÚN CLARO GIRAS PK6",4.4,NA,NA,NA,"2233-020-616378"
"ARROZ REDONDO",1.3,NA,NA,NA,"2233-020-616378"
"BANANA",1.45,1.042,1.51,"Verdura y Frutas","2233-020-616378"
"GUISANTES MUY TIERNO",1.01,NA,NA,NA,"4583-016-397921"
"COGOLLOS",1.12,NA,NA,NA,"4583-016-397921"
"PATATAS EXTRACRUNCH          ",1.3,NA,NA,NA,"4583-016-397921"
"PATATAS EXTRACRUNCH          ",1.3,NA,NA,NA,"4583-016-397921"
"PAT. CLASSICAS",1.75,NA,NA,NA,"4583-016-397921"
"PUERRO",1.68,NA,NA,NA,"4583-016-397921"
"NOODLES                      ",1.5,NA,NA,NA,"4583-016-397921"
"NOODLES                      ",1.5,NA,NA,NA,"4583-016-397921"
"LECHE DESN S/LACT",5.58,NA,NA,NA,"4583-016-397921"
"FIDEO AL HUEVO",1.35,NA,NA,NA,"4583-016-397921"
"GARBANZO LECHOSO NAC",2.75,NA,NA,NA,"4583-016-397921"
"SPAGHETTI",1.24,NA,NA,NA,"4583-016-397921"
"NIDOS AL HUEVO",1.35,NA,NA,NA,"4583-016-397921"
"BARRA CAMPESINA              ",0.7,NA,NA,NA,"4583-016-397921"
"BARRA CAMPESINA              ",0.7,NA,NA,NA,"4583-016-397921"
"BARRA CAMPESINA              ",0.7,NA,NA,NA,"4583-016-397921"
"LENTEJA PARDINA",2.1,NA,NA,NA,"4583-016-397921"
"LECHE DESNAT. CALCIO",5.64,NA,NA,NA,"4583-016-397921"
"SPAGHETTI AL HUEVO",1.35,NA,NA,NA,"4583-016-397921"
"SPAGHETTI INTEGRAL",1.2,NA,NA,NA,"4583-016-397921"
"C. POLLO 100% NAT",1.85,NA,NA,NA,"4583-016-397921"
"CEBOLLA TIERNA",1.29,NA,NA,NA,"4583-016-397921"
"PICADILLO VARIANTES",1.8,NA,NA,NA,"4583-016-397921"
"5 BOCADILLOS",1.15,NA,NA,NA,"4583-016-397921"
"NATA 15% SIN LACTOSA",2.4,NA,NA,NA,"4583-016-397921"
"COCKTAIL NATURAL             ",2.5,NA,NA,NA,"4583-016-397921"
"COCKTAIL NATURAL             ",2.5,NA,NA,NA,"4583-016-397921"
"ACEITUNA R/ANCHOA P3",2.7,NA,NA,NA,"4583-016-397921"
"NUEZ NATURAL",2,NA,NA,NA,"4583-016-397921"
"TOMATE TRITURADO",0.72,NA,NA,NA,"4583-016-397921"
"MAYONESA HELLMANN?S",3.25,NA,NA,NA,"4583-016-397921"
"PEPINILLO AG GRANDE",1.45,NA,NA,NA,"4583-016-397921"
"PANEC. 100% INTEGRAL",1.05,NA,NA,NA,"4583-016-397921"
"BROTES TIERNOS MAXI",1.59,NA,NA,NA,"4583-016-397921"
"TOM. RECETA ARTESANA",2.1,NA,NA,NA,"4583-016-397921"
"VIRGEN EXTRA 500             ",7.85,NA,NA,NA,"4583-016-397921"
"VIRGEN EXTRA 500             ",7.85,NA,NA,NA,"4583-016-397921"
"TOMATE FRITO S/AZUCA",1.2,NA,NA,NA,"4583-016-397921"
"SAL ESCAMAS",2,NA,NA,NA,"4583-016-397921"
"12 HUEVOS GRANDES-L",2.2,NA,NA,NA,"4583-016-397921"
"PAN DE PUEBLO",1.5,NA,NA,NA,"4583-016-397921"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"4583-016-397921"
"QUESO FRESCO CABRA",2.77,NA,NA,NA,"4583-016-397921"
"QUESO LONCHAS CABRA",2.85,NA,NA,NA,"4583-016-397921"
"QUESO LONCHAS CABRA",2.82,NA,NA,NA,"4583-016-397921"
"FILETE PECHUGA",4.53,NA,NA,NA,"4583-016-397921"
"Q VIEJO TOSTADO",5.24,NA,NA,NA,"4583-016-397921"
"ALCAPARRAS",1.3,NA,NA,NA,"4583-016-397921"
"PIMIENTO FREIR",2.19,0.534,1.17,"Verdura y Frutas","4583-016-397921"
"TOMATE PERA",1.99,1.158,2.3,"Verdura y Frutas","4583-016-397921"
"PLATANO",1.99,1.314,2.61,"Verdura y Frutas","4583-016-397921"
"PARKING",0,NA,NA,NA,"4583-016-397921"
"GUISANTES MUY TIERNO",1.01,NA,NA,NA,"4583-016-397921"
"COGOLLOS",1.12,NA,NA,NA,"4583-016-397921"
"PATATAS EXTRACRUNCH          ",1.3,NA,NA,NA,"4583-016-397921"
"PATATAS EXTRACRUNCH          ",1.3,NA,NA,NA,"4583-016-397921"
"PAT. CLASSICAS",1.75,NA,NA,NA,"4583-016-397921"
"PUERRO",1.68,NA,NA,NA,"4583-016-397921"
"NOODLES                      ",1.5,NA,NA,NA,"4583-016-397921"
"NOODLES                      ",1.5,NA,NA,NA,"4583-016-397921"
"LECHE DESN S/LACT",5.58,NA,NA,NA,"4583-016-397921"
"FIDEO AL HUEVO",1.35,NA,NA,NA,"4583-016-397921"
"GARBANZO LECHOSO NAC",2.75,NA,NA,NA,"4583-016-397921"
"SPAGHETTI",1.24,NA,NA,NA,"4583-016-397921"
"NIDOS AL HUEVO",1.35,NA,NA,NA,"4583-016-397921"
